,,,DraftKings,,,FanDuel,,,BetMGM,,,PointsBet,,
Player,Team,Opp,Points,Over,Under,Points,Over,Under,Points,Over,Under,Points,Over,Under
Donovan Mitchell,CLE,@IND,,,,32.5,-102,-125,,,,,,
Luka Doncic,DAL,@DEN,31.5,-115,-110,31.5,-115,-111,,,,31.5,-120,-110
Stephen Curry,GSW,@OKC,28.5,-125,-105,29.5,-102,-125,28.5,-115,-115,28.5,-130,100
Giannis Antetokounmpo,MIL,NYK,,,,27.5,-104,-122,27.5,-120,-110,27.5,-115,-115
Desmond Bane,MEM,@POR,,,,25.5,-118,-108,26.5,-115,-115,26.5,-115,-115
Nikola Jokic,DEN,DAL,26.5,-110,-115,26.5,-106,-120,,,,26.5,-115,-115
Zach LaVine,CHI,BKN,25.5,100,-125,25.5,-102,-125,25.5,-120,-110,25.5,-110,-120
Damian Lillard,MIL,NYK,,,,24.5,-115,-111,24.5,-115,-120,24.5,-120,-110
Mikal Bridges,BKN,@CHI,22.5,-115,-110,23.5,-108,-118,22.5,-120,-115,22.5,-115,-115
Jalen Brunson,NYK,@MIL,,,,23.5,-111,-115,23.5,-110,-120,23.5,-115,-115
Tyler Herro,MIA,WAS,23.5,-125,-105,23.5,-122,-104,23.5,-125,-105,23.5,-125,-105
Cam Thomas,BKN,@CHI,,,,23.5,-115,-111,23.5,-125,-105,,,
Shaedon Sharpe,POR,MEM,,,,22.5,-120,-106,21.5,-120,-110,21.5,-120,-110
DeMar DeRozan,CHI,BKN,20.5,-120,-110,21.5,-113,-113,20.5,-120,-110,20.5,-115,-115
Jerami Grant,POR,MEM,,,,20.5,-120,-106,21.5,-105,-125,20.5,-125,-105
Kyle Kuzma,WAS,@MIA,21.5,100,-130,21.5,-106,-120,21.5,-110,-120,21.5,-105,-125
Bam Adebayo,MIA,WAS,20.5,-110,-115,20.5,-104,-122,19.5,-125,-105,20.5,-120,-110
Jaren Jackson,MEM,@POR,,,,20.5,-115,-113,20.5,-125,-105,20.5,-115,-115
Jamal Murray,DEN,DAL,20.5,-110,-115,20.5,-106,-120,,,,20.5,-115,-115
Jimmy Butler,MIA,WAS,19.5,-115,-110,19.5,-108,-118,19.5,-115,-115,19.5,-115,-115
Jalen Williams,OKC,GSW,19.5,-110,-115,19.5,-106,-120,19.5,-105,-125,19.5,-110,-120
RJ Barrett,NYK,@MIL,,,,,,,18.5,-105,-125,18.5,-105,-125
Jordan Poole,WAS,@MIA,18.5,-120,-105,18.5,-122,-104,18.5,-110,-120,18.5,-115,-115
Julius Randle,NYK,@MIL,,,,18.5,-108,-118,17.5,-125,-105,18.5,100,-130
Klay Thompson,GSW,@OKC,18.5,-115,-110,18.5,-102,-125,,,,18.5,-120,-110
Nikola Vucevic,CHI,BKN,18.5,-110,-120,17.5,-122,-104,18.5,-110,-120,18.5,-110,-120
Josh Giddey,OKC,GSW,17.5,-115,-110,17.5,-102,-125,17.5,-120,-110,,,
Chet Holmgren,OKC,GSW,15.5,-120,-105,15.5,-118,-108,15.5,-120,-110,15.5,-125,-105
Evan Mobley,CLE,@IND,,,,15.5,-108,-118,,,,,,
Myles Turner,IND,CLE,14.5,-105,-120,15.5,-102,-125,,,,14.5,-115,-115
Marcus Smart,MEM,@POR,,,,14.5,-106,-120,14.5,-110,-120,14.5,-115,-115
Deandre Ayton,POR,MEM,,,,12.5,-122,-104,13.5,-115,-115,13.5,-110,-120
Luguentz Dort,OKC,GSW,13.5,-110,-120,13.5,-113,-113,13.5,-110,-120,13.5,-110,-120
Michael Porter,DEN,DAL,13.5,-105,-125,13.5,-111,-115,,,,13.5,-115,-115
Andrew Wiggins,GSW,@OKC,12.5,-130,100,12.5,-111,-115,12.5,-130,100,13.5,100,-130
Aaron Gordon,DEN,DAL,12.5,-110,-115,12.5,-113,-113,,,,12.5,-115,-115
Brook Lopez,MIL,NYK,,,,11.5,104,-132,10.5,100,-135,10.5,-115,-115
Max Strus,CLE,@IND,,,,11.5,-122,-104,,,,,,
Deni Avdija,WAS,@MIA,10.5,-105,-125,10.5,100,-128,10.5,-105,-130,10.5,-105,-125
Dorian Finney-Smith,BKN,@CHI,10.5,-120,-110,10.5,-113,-113,10.5,-120,-110,10.5,-125,-105
Coby White,CHI,BKN,10.5,-125,100,10.5,-113,-113,10.5,-130,-105,10.5,-120,-110
Ziaire Williams,MEM,@POR,,,,9.5,-120,-106,9.5,-120,-115,10.5,-105,-125
Malik Beasley,MIL,NYK,,,,9.5,-102,-125,9.5,-115,-115,,,
Kentavious Caldwell-Pope,DEN,DAL,9.5,-110,-115,9.5,-120,-106,,,,9.5,-115,-115
Tyus Jones,WAS,@MIA,9.5,-130,100,9.5,-130,102,9.5,-130,100,9.5,-125,-105
Xavier Tillman,MEM,@POR,,,,9.5,-111,-115,9.5,-120,-110,9.5,-115,-115
Daniel Gafford,WAS,@MIA,8.5,-115,-110,8.5,-128,100,8.5,-120,-115,8.5,-115,-115
Khris Middleton,MIL,NYK,,,,8.5,-104,-122,,,,,,
Bobby Portis,MIL,NYK,,,,8.5,-104,-122,,,,8.5,-125,-105
Draymond Green,GSW,@OKC,7.5,-115,-115,7.5,-106,-120,7.5,-115,-115,7.5,-110,-120
Kevon Looney,GSW,@OKC,7.5,-105,-125,7.5,102,-130,7.5,-105,-125,7.5,-105,-125
Kevin Love,MIA,WAS,7.5,-115,-110,7.5,-111,-115,7.5,-115,-115,7.5,-120,-110
Kyle Lowry,MIA,WAS,7.5,-105,-120,7.5,-106,-120,7.5,-110,-120,7.5,-110,-120
Ben Simmons,BKN,@CHI,7.5,-130,100,7.5,-118,-108,,,,7.5,-125,-105
Pat Connaughton,MIL,NYK,,,,6.5,-108,-118,,,,,,
Quentin Grimes,NYK,@MIL,,,,6.5,-118,-108,6.5,-130,-105,6.5,-125,-105
Mitchell Robinson,NYK,@MIL,,,,6.5,-111,-115,6.5,-130,-105,6.5,-120,-110
